web-scraper-order,web-scraper-start-url,articles_links,articles_links-href,type_habit,prix,adresse,image_lien
"1738965781-51","https://sn.coinafrique.com/categorie/vetements-homme","Costume africain","https://sn.coinafrique.com/annonce/vetements-homme/costume-africain-5155092","Costume africain","","Mbao, Dakar, Sénégal",""
"1738965785-52","https://sn.coinafrique.com/categorie/vetements-homme","Vêtements homme","https://sn.coinafrique.com/annonce/vetements-homme/vetements-homme-5155250","Vetement homme","Prix sur demande","Mbao, Dakar, Sénégal",""
"1738965790-53","https://sn.coinafrique.com/categorie/vetements-homme","Ensemble homme","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-5155643","Ensemble homme","","Dakar, Sénégal",""
"1738965794-54","https://sn.coinafrique.com/categorie/vetements-homme","Jean Celio","https://sn.coinafrique.com/annonce/vetements-homme/jean-celio-5156025","Jean Celio","","Sicap Liberté, Dakar, Sénégal",""
"1738965799-55","https://sn.coinafrique.com/categorie/vetements-homme","Chemises homme en coton","https://sn.coinafrique.com/annonce/vetements-homme/chemises-homme-en-coton-5156585","Chemises homme en coton","","Sicap Liberté, Dakar, Sénégal",""
"1738965804-56","https://sn.coinafrique.com/categorie/vetements-homme","Lot de caleçons","https://sn.coinafrique.com/annonce/vetements-homme/lot-de-calecons-5156588","Lot de caleçons","","Sicap Liberté, Dakar, Sénégal",""
"1738965808-57","https://sn.coinafrique.com/categorie/vetements-homme","Jogging coton bas large","https://sn.coinafrique.com/annonce/vetements-homme/jogging-coton-bas-large-5159399","Jogging coton homme","","Dakar, Sénégal",""
"1738965812-58","https://sn.coinafrique.com/categorie/vetements-homme","Jogging coton homme","https://sn.coinafrique.com/annonce/vetements-homme/jogging-coton-homme-5159405","Jogging coton homme","","Dakar, Sénégal",""
"1738965817-59","https://sn.coinafrique.com/categorie/vetements-homme","Ensemble 3 Pièces","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-3-pieces-5160811","Ensemble 3 Pièces","","HLM, Dakar, Sénégal",""
"1738965821-60","https://sn.coinafrique.com/categorie/vetements-homme","Ensemble homme","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-5116407","Ensemble homme","","Colobane, Dakar, Sénégal",""
"1738965825-61","https://sn.coinafrique.com/categorie/vetements-homme","Vêtements homme","https://sn.coinafrique.com/annonce/vetements-homme/vetements-homme-5165554","Ensemble homme","","Dakar, Sénégal",""
"1738965830-62","https://sn.coinafrique.com/categorie/vetements-homme","Vêtements homme","https://sn.coinafrique.com/annonce/vetements-homme/vetements-homme-5165558","Ensemble homme","","Dakar, Sénégal",""
"1738965835-63","https://sn.coinafrique.com/categorie/vetements-homme","Vêtements homme","https://sn.coinafrique.com/annonce/vetements-homme/vetements-homme-5165560","Ensemble homme","","Dakar, Sénégal",""
"1738965839-64","https://sn.coinafrique.com/categorie/vetements-homme","Vêtements homme","https://sn.coinafrique.com/annonce/vetements-homme/vetements-homme-5165562","Ensemble homme","","Dakar, Sénégal",""
"1738965843-65","https://sn.coinafrique.com/categorie/vetements-homme","Pantalon","https://sn.coinafrique.com/annonce/vetements-homme/pantalon-5165652","Pantalon","","Colobane, Dakar, Sénégal",""
"1738965847-66","https://sn.coinafrique.com/categorie/vetements-homme","Vêtements homme","https://sn.coinafrique.com/annonce/vetements-homme/vetements-homme-5165738","Ensemble caleçons + débardeurs  homme","","Dieuppeul-Derklé, Dakar, Sénégal",""
"1738965852-67","https://sn.coinafrique.com/categorie/vetements-homme","Ensemble homme","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-5166726","Ensemble homme","","Dakar Plateau, Dakar, Sénégal",""
"1738965856-68","https://sn.coinafrique.com/categorie/vetements-homme","Ensemble homme","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-5166733","Ensemble homme","","Dakar Plateau, Dakar, Sénégal",""
"1738965860-69","https://sn.coinafrique.com/categorie/vetements-homme","Ensemble homme","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-5166739","Ensemble homme","","Dakar Plateau, Dakar, Sénégal",""
"1738965864-70","https://sn.coinafrique.com/categorie/vetements-homme","Ensemble blouson","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-blouson-5166796","Ensemble blouson","","Dakar, Sénégal",""
"1738965869-71","https://sn.coinafrique.com/categorie/vetements-homme","Chemise el hadji","https://sn.coinafrique.com/annonce/vetements-homme/chemise-el-hadji-5119693","Chemises El-Hadji","","Dakar Plateau, Dakar, Sénégal",""
"1738965873-72","https://sn.coinafrique.com/categorie/vetements-homme","Chemises El-Hadji","https://sn.coinafrique.com/annonce/vetements-homme/chemises-el-hadji-5119265","Chemises El-Hadji","","Dakar Plateau, Dakar, Sénégal",""
"1738965879-73","https://sn.coinafrique.com/categorie/vetements-homme","Vetements homme","https://sn.coinafrique.com/annonce/vetements-homme/vetements-homme-5119513","Vetement homme","5 000 CFA","Fass, Dakar, Sénégal",""
"1738965883-74","https://sn.coinafrique.com/categorie/vetements-homme","T-shirt Jules","https://sn.coinafrique.com/annonce/vetements-homme/t-shirt-jules-5167839","T-shirt Jules","","Ngor, Dakar, Sénégal",""
"1738965887-75","https://sn.coinafrique.com/categorie/vetements-homme","Ensemble Nike Tech Fleece","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-nike-tech-fleece-5168364","Ensemble Nike Tech Fleece","","Grand Dakar, Dakar, Sénégal",""
"1738965893-76","https://sn.coinafrique.com/categorie/vetements-homme","Lacoste homme","https://sn.coinafrique.com/annonce/vetements-homme/lacoste-homme-5171118","Lacoste homme","","Dakar, Sénégal",""
"1738965898-77","https://sn.coinafrique.com/categorie/vetements-homme","Jogging en coton","https://sn.coinafrique.com/annonce/vetements-homme/jogging-en-coton-5151233","Jogging en coton","","Mamelles, Dakar, Sénégal",""
"1738965903-78","https://sn.coinafrique.com/categorie/vetements-homme","Lot de 3 débardeur","https://sn.coinafrique.com/annonce/vetements-homme/lot-de-3-debardeur-5141405","Lot de 3 débardeur","","Dakar Plateau, Dakar, Sénégal",""
"1738965908-79","https://sn.coinafrique.com/categorie/vetements-homme","Chemise homme","https://sn.coinafrique.com/annonce/vetements-homme/chemise-homme-5127408","Chemise homme","","Fass, Dakar, Sénégal",""
"1738965913-80","https://sn.coinafrique.com/categorie/vetements-homme","Débardeur en coton","https://sn.coinafrique.com/annonce/vetements-homme/debardeur-en-coton-5134851","Lot de 3 débardeur","","Dakar Plateau, Dakar, Sénégal",""
"1738965918-81","https://sn.coinafrique.com/categorie/vetements-homme","Djellaba pour homme","https://sn.coinafrique.com/annonce/vetements-homme/djellaba-pour-homme-5141181","Djellaba pour homme","","Fass, Dakar, Sénégal",""
"1738965922-82","https://sn.coinafrique.com/categorie/vetements-homme","Lot de 3 débardeur","https://sn.coinafrique.com/annonce/vetements-homme/lot-de-3-debardeur-5130429","Lot de 3 débardeur","","Dakar Plateau, Dakar, Sénégal",""
"1738965927-83","https://sn.coinafrique.com/categorie/vetements-homme","Sous-vêtements","https://sn.coinafrique.com/annonce/vetements-homme/sous-vetements-5135693","T-shirt à col V","","Fann, Dakar, Sénégal",""
"1738965932-84","https://sn.coinafrique.com/categorie/vetements-homme","Vetement homme","https://sn.coinafrique.com/annonce/vetements-homme/vetement-homme-5127469","Vetement homme","5 000 CFA","Fass, Dakar, Sénégal",""
